trial_id,state,value,param_z_entry,param_z_exit,param_lookback,param_atr_window,param_entry_decay,param_exit_decay,param_edge_min,param_atr_max,param_corr_min,param_beta_lo,param_beta_hi,param_coint_pmax,param_half_life_max,param_notional,param_slippage_bps,param_slippage_mode,param_slippage_atr_frac,param_transaction_cost_per_trade,param_bar_lag,param_max_bars_held,param_z_stop,param_run_dd_stop_pct,metric_sharpe,metric_total_pnl,metric_max_drawdown,metric_cagr,metric_win_rate,metric_avg_trade_pnl,metric_n_trades,metric_strategy,metric_symbols,metric_window,metric_config,metric_metrics,metric_trades,metric_run_id,metric_scenario_name,metric_regime_summary
0,COMPLETE,-1000000.0,2.0,1.4000000000000001,195,9,0.1,0.4,1.1500000000000001,5.1000000000000005,-0.72,1.5,0.6000000000000001,0.15,12,14028,4.3,bps,0.035,5.7,5,69,3.4000000000000004,0.43,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 195, 'atr_window': 9, 'z_entry': 2.0, 'z_exit': 1.4000000000000001, 'edge_min': 1.1500000000000001, 'atr_max': 5.1000000000000005, 'corr_min': -0.72, 'beta_range': (0.6000000000000001, 1.5), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.15, 'hl_window': None, 'half_life_max': 12.0, 'exec': {'bar_lag': 5, 'slippage_mode': 'bps', 'slippage_bps': 4.3, 'slippage_atr_frac': 0.0, 'transaction_cost_per_trade': 5.7, 'notional': 14028.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 69, 'z_stop': 3.4000000000000004, 'run_dd_stop_pct': 0.43, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
1,COMPLETE,-1000000.0,1.6,0.2,205,43,0.5,0.5,0.8,3.6,-0.5800000000000001,-0.7999999999999998,-0.19999999999999996,0.08,36,57369,2.0,bps,0.14,2.3000000000000003,4,85,0.7000000000000001,0.12,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 205, 'atr_window': 43, 'z_entry': 1.6, 'z_exit': 0.2, 'edge_min': 0.8, 'atr_max': 3.6, 'corr_min': -0.5800000000000001, 'beta_range': (-0.7999999999999998, -0.19999999999999996), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.08, 'hl_window': None, 'half_life_max': 36.0, 'exec': {'bar_lag': 4, 'slippage_mode': 'bps', 'slippage_bps': 2.0, 'slippage_atr_frac': 0.0, 'transaction_cost_per_trade': 2.3000000000000003, 'notional': 57369.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 85, 'z_stop': 0.7000000000000001, 'run_dd_stop_pct': 0.12, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
2,COMPLETE,-1000000.0,1.2000000000000002,0.7000000000000001,170,44,0.2,0.1,1.1500000000000001,2.3000000000000003,0.49,0.0,0.0,0.07,87,35568,5.0,bps,0.19,4.800000000000001,1,73,4.1000000000000005,0.27,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 170, 'atr_window': 44, 'z_entry': 1.2000000000000002, 'z_exit': 0.7000000000000001, 'edge_min': 1.1500000000000001, 'atr_max': 2.3000000000000003, 'corr_min': 0.49, 'beta_range': (0.0, 0.0), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.07, 'hl_window': None, 'half_life_max': 87.0, 'exec': {'bar_lag': 1, 'slippage_mode': 'bps', 'slippage_bps': 5.0, 'slippage_atr_frac': 0.0, 'transaction_cost_per_trade': 4.800000000000001, 'notional': 35568.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 73, 'z_stop': 4.1000000000000005, 'run_dd_stop_pct': 0.27, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
3,COMPLETE,-1000000.0,0.6,0.6,140,17,0.6,0.1,0.6000000000000001,9.700000000000001,0.74,-1.1,0.6000000000000001,0.02,88,65895,8.1,atr_frac,0.11,1.7000000000000002,4,39,2.6,0.3,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 140, 'atr_window': 17, 'z_entry': 0.6, 'z_exit': 0.6, 'edge_min': 0.6000000000000001, 'atr_max': 9.700000000000001, 'corr_min': 0.74, 'beta_range': (-1.1, 0.6000000000000001), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.02, 'hl_window': None, 'half_life_max': 88.0, 'exec': {'bar_lag': 4, 'slippage_mode': 'atr_frac', 'slippage_bps': 8.1, 'slippage_atr_frac': 0.11, 'transaction_cost_per_trade': 1.7000000000000002, 'notional': 65895.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 39, 'z_stop': 2.6, 'run_dd_stop_pct': 0.3, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
4,COMPLETE,-1000000.0,1.0,0.6,100,16,0.1,0.9,0.8500000000000001,5.800000000000001,-0.41000000000000003,-0.7999999999999998,1.5,0.18,81,101270,9.1,atr_frac,0.115,8.3,5,71,1.7000000000000002,0.08,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 100, 'atr_window': 16, 'z_entry': 1.0, 'z_exit': 0.6, 'edge_min': 0.8500000000000001, 'atr_max': 5.800000000000001, 'corr_min': -0.41000000000000003, 'beta_range': (-0.7999999999999998, 1.5), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.18, 'hl_window': None, 'half_life_max': 81.0, 'exec': {'bar_lag': 5, 'slippage_mode': 'atr_frac', 'slippage_bps': 9.1, 'slippage_atr_frac': 0.115, 'transaction_cost_per_trade': 8.3, 'notional': 101270.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 71, 'z_stop': 1.7000000000000002, 'run_dd_stop_pct': 0.08, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
5,COMPLETE,-1000000.0,0.6,1.4000000000000001,245,39,0.7000000000000001,0.6,1.1500000000000001,2.9000000000000004,-0.17999999999999994,1.2000000000000002,-1.8,0.15,56,140633,9.5,atr_frac,0.115,3.7,3,79,4.1000000000000005,0.06,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 245, 'atr_window': 39, 'z_entry': 0.6, 'z_exit': 1.4000000000000001, 'edge_min': 1.1500000000000001, 'atr_max': 2.9000000000000004, 'corr_min': -0.17999999999999994, 'beta_range': (-1.8, 1.2000000000000002), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.15, 'hl_window': None, 'half_life_max': 56.0, 'exec': {'bar_lag': 3, 'slippage_mode': 'atr_frac', 'slippage_bps': 9.5, 'slippage_atr_frac': 0.115, 'transaction_cost_per_trade': 3.7, 'notional': 140633.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 79, 'z_stop': 4.1000000000000005, 'run_dd_stop_pct': 0.06, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
6,COMPLETE,-1000000.0,1.4,0.4,210,20,0.2,0.9,0.45,4.9,-0.6599999999999999,-0.09999999999999987,-0.19999999999999996,0.09,84,73599,8.700000000000001,bps,0.045,1.5,0,22,2.5,0.39,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 210, 'atr_window': 20, 'z_entry': 1.4, 'z_exit': 0.4, 'edge_min': 0.45, 'atr_max': 4.9, 'corr_min': -0.6599999999999999, 'beta_range': (-0.19999999999999996, -0.09999999999999987), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.09, 'hl_window': None, 'half_life_max': 84.0, 'exec': {'bar_lag': 0, 'slippage_mode': 'bps', 'slippage_bps': 8.700000000000001, 'slippage_atr_frac': 0.0, 'transaction_cost_per_trade': 1.5, 'notional': 73599.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 22, 'z_stop': 2.5, 'run_dd_stop_pct': 0.39, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
7,COMPLETE,-1000000.0,1.2000000000000002,0.2,140,24,0.1,0.9,0.0,10.0,-0.69,0.10000000000000009,1.8000000000000003,0.0,33,126915,0.4,atr_frac,0.095,8.3,5,31,0.1,0.14,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 140, 'atr_window': 24, 'z_entry': 1.2000000000000002, 'z_exit': 0.2, 'edge_min': None, 'atr_max': 10.0, 'corr_min': -0.69, 'beta_range': (0.10000000000000009, 1.8000000000000003), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': None, 'hl_window': None, 'half_life_max': 33.0, 'exec': {'bar_lag': 5, 'slippage_mode': 'atr_frac', 'slippage_bps': 0.4, 'slippage_atr_frac': 0.095, 'transaction_cost_per_trade': 8.3, 'notional': 126915.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 31, 'z_stop': 0.1, 'run_dd_stop_pct': 0.14, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
8,COMPLETE,-1000000.0,0.7,0.8,75,27,0.4,0.30000000000000004,0.35000000000000003,10.0,-0.17999999999999994,-1.1,-0.19999999999999996,0.02,92,8695,2.0,bps,0.11,5.7,2,77,1.1,0.37,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 75, 'atr_window': 27, 'z_entry': 0.7, 'z_exit': 0.8, 'edge_min': 0.35000000000000003, 'atr_max': 10.0, 'corr_min': -0.17999999999999994, 'beta_range': (-1.1, -0.19999999999999996), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.02, 'hl_window': None, 'half_life_max': 92.0, 'exec': {'bar_lag': 2, 'slippage_mode': 'bps', 'slippage_bps': 2.0, 'slippage_atr_frac': 0.0, 'transaction_cost_per_trade': 5.7, 'notional': 8695.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 77, 'z_stop': 1.1, 'run_dd_stop_pct': 0.37, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
